[1/1] Launching benchmark at Fri Apr 25 02:47:21 AM KST 2025
Start Time: 2025-04-25 02:47:21
▶️ Starting ifstat logging...
    Finished `release` profile [optimized] target(s) in 0.00s
     Running `target/release/echo_bench --address '117.16.44.111:8050' --number 1000 --duration 300 --length 32`
Sleeping for 300 seconds
wake up
Benchmarking: 117.16.44.111:8050
1000 clients, running 32 bytes, 300 sec.

Speed: 425565 request/sec, 425565 response/sec
Requests: 127669743
Responses: 127669742
⏹ ifstat stopped.
End Time: 2025-04-25 02:52:22

=== ifstat log ===
       eno1       
 KB/s in  KB/s out
41854.01  41852.92
41873.08  41885.35
42103.78  42071.21
42835.67  42875.20
42552.98  42549.07
43568.73  43542.04
       eno1       
 KB/s in  KB/s out
44463.39  44468.87
44746.81  44747.76
44800.88  44803.78
44557.47  44562.75
44465.29  44466.74
44677.38  44681.45
42109.10  42143.42
41654.35  41657.39
41856.31  41862.73
41831.50  41834.85
41953.45  41960.21
42222.64  42188.88
44782.70  44786.15
41405.33  41444.83
41748.49  41749.49
41592.60  41596.72
41992.24  41993.70
41579.84  41584.14
42054.76  42051.53
41123.31  41136.22
41897.81  41891.93
42089.96  42065.22
       eno1       
 KB/s in  KB/s out
44449.14  44449.81
43812.45  43852.31
42286.88  42286.54
41860.62  41871.84
42366.35  42364.73
42207.77  42215.29
41878.04  41872.99
42292.30  42286.67
42122.47  42139.05
42384.12  42376.38
42034.71  42047.74
42555.41  42563.36
41877.65  41870.85
42478.12  42486.21
42020.50  42025.00
42184.82  42179.31
42175.81  42184.53
42127.65  42133.71
41471.63  41464.90
41891.48  41890.66
41618.40  41637.11
41779.96  41771.76
       eno1       
 KB/s in  KB/s out
42385.72  42359.37
42823.72  42830.80
43492.15  43494.34
44153.24  44155.50
43944.74  43951.05
41370.67  41401.54
41996.25  41999.78
41629.93  41640.63
42110.49  42108.74
41701.10  41701.97
42013.75  42019.03
41926.03  41928.34
42358.62  42357.78
42100.84  42113.29
42556.51  42551.13
42281.40  42286.27
41918.62  41910.36
42114.94  42128.27
41735.83  41739.17
42140.11  42143.64
41803.82  41809.57
42101.22  42108.57
       eno1       
 KB/s in  KB/s out
41720.07  41719.78
42960.79  42928.11
44088.89  44092.69
42176.45  42217.39
41709.92  41709.62
42054.92  42055.42
41628.62  41632.15
42157.89  42164.96
41535.86  41541.01
42235.50  42235.63
42581.44  42550.12
44551.83  44554.36
44685.43  44692.96
44451.04  44452.87
44454.62  44456.05
42591.16  42629.95
42037.40  42039.12
41689.95  41686.33
41833.70  41847.38
41652.68  41653.01
42028.32  42033.55
41747.06  41753.21
       eno1       
 KB/s in  KB/s out
42180.34  42179.83
41929.72  41931.27
43648.68  43618.59
44686.05  44689.08
45169.59  45172.86
45199.61  45205.14
45318.42  45319.54
44709.80  44713.22
42470.47  42508.08
41495.79  41499.41
41143.14  41150.20
41507.76  41514.21
41166.78  41155.96
41468.62  41476.01
41344.33  41317.24
44389.09  44393.23
41973.70  42007.91
42253.44  42252.56
41662.05  41648.22
41733.77  41758.94
42070.87  42076.85
42268.51  42271.96
       eno1       
 KB/s in  KB/s out
42282.42  42282.65
42412.42  42417.96
42456.31  42422.55
44334.74  44334.56
43406.93  43412.26
41939.84  41972.14
42076.02  42085.94
41825.28  41824.52
42318.19  42322.60
41989.83  41988.95
42299.44  42310.27
41811.49  41813.82
42157.34  42154.04
42168.77  42175.15
42426.45  42428.03
42235.96  42239.95
42377.97  42384.28
42620.40  42620.71
41614.45  41622.10
42063.42  42061.19
41647.24  41653.82
42201.17  42198.37
       eno1       
 KB/s in  KB/s out
41567.87  41582.18
41997.58  41991.54
41548.80  41553.10
42814.88  42789.04
42240.29  42279.16
41905.35  41903.32
40730.26  40736.61
42383.67  42384.62
42089.83  42095.75
42245.10  42246.86
42249.97  42254.37
42701.05  42697.82
42484.34  42495.72
42042.76  42038.27
42239.48  42246.37
42008.00  41979.74
44196.74  44197.65
44673.09  44676.30
44421.78  44426.12
44312.11  44315.81
44458.82  44459.54
44898.75  44906.28
       eno1       
 KB/s in  KB/s out
44363.60  44365.22
43188.33  43193.09
43760.21  43804.53
42007.85  41969.79
44842.12  44844.16
44818.47  44822.83
44849.43  44853.41
44180.10  44218.19
41938.82  41935.12
42042.22  42051.24
41579.89  41584.22
41861.70  41869.09
41897.92  41894.18
31339.07  31318.44
